StateFIPS,State,CountyFIPS,County,Year,EHE
1,Alabama,1001,Autauga,2000,66
1,Alabama,1001,Autauga,2001,16
1,Alabama,1001,Autauga,2002,38
1,Alabama,1001,Autauga,2003,5
1,Alabama,1001,Autauga,2004,21
1,Alabama,1001,Autauga,2005,25
1,Alabama,1001,Autauga,2006,73
1,Alabama,1001,Autauga,2007,79
1,Alabama,1001,Autauga,2008,54
1,Alabama,1001,Autauga,2009,100
1,Alabama,1001,Autauga,2010,99
1,Alabama,1001,Autauga,2011,106
1,Alabama,1001,Autauga,2012,78
1,Alabama,1001,Autauga,2013,35
1,Alabama,1001,Autauga,2014,87
1,Alabama,1001,Autauga,2015,64
1,Alabama,1001,Autauga,2016,92
1,Alabama,1001,Autauga,2017,24
1,Alabama,1001,Autauga,2018,66
1,Alabama,1001,Autauga,2019,101
1,Alabama,1001,Autauga,2020,67
1,Alabama,1001,Autauga,2021,41
1,Alabama,1001,Autauga,2022,72
1,Alabama,1001,Autauga,2023,67
1,Alabama,1003,Baldwin,2000,33
1,Alabama,1003,Baldwin,2001,0
1,Alabama,1003,Baldwin,2002,4
1,Alabama,1003,Baldwin,2003,0
1,Alabama,1003,Baldwin,2004,7
1,Alabama,1003,Baldwin,2005,6
1,Alabama,1003,Baldwin,2006,19
1,Alabama,1003,Baldwin,2007,22
1,Alabama,1003,Baldwin,2008,0
1,Alabama,1003,Baldwin,2009,27
1,Alabama,1003,Baldwin,2010,28
1,Alabama,1003,Baldwin,2011,63
1,Alabama,1003,Baldwin,2012,11
1,Alabama,1003,Baldwin,2013,4
1,Alabama,1003,Baldwin,2014,12
1,Alabama,1003,Baldwin,2015,31
1,Alabama,1003,Baldwin,2016,6
1,Alabama,1003,Baldwin,2017,0
1,Alabama,1003,Baldwin,2018,4
1,Alabama,1003,Baldwin,2019,26
1,Alabama,1003,Baldwin,2020,11
1,Alabama,1003,Baldwin,2021,6
1,Alabama,1003,Baldwin,2022,8
1,Alabama,1003,Baldwin,2023,44
1,Alabama,1005,Barbour,2000,79
1,Alabama,1005,Barbour,2001,10
1,Alabama,1005,Barbour,2002,35
1,Alabama,1005,Barbour,2003,3
1,Alabama,1005,Barbour,2004,23
1,Alabama,1005,Barbour,2005,33
1,Alabama,1005,Barbour,2006,75
1,Alabama,1005,Barbour,2007,74
1,Alabama,1005,Barbour,2008,39
1,Alabama,1005,Barbour,2009,99
1,Alabama,1005,Barbour,2010,96
1,Alabama,1005,Barbour,2011,116
1,Alabama,1005,Barbour,2012,87
1,Alabama,1005,Barbour,2013,37
1,Alabama,1005,Barbour,2014,93
1,Alabama,1005,Barbour,2015,61
1,Alabama,1005,Barbour,2016,89
1,Alabama,1005,Barbour,2017,24
1,Alabama,1005,Barbour,2018,47
1,Alabama,1005,Barbour,2019,111
1,Alabama,1005,Barbour,2020,79
1,Alabama,1005,Barbour,2021,52
1,Alabama,1005,Barbour,2022,77
1,Alabama,1005,Barbour,2023,66
1,Alabama,1007,Bibb,2000,61
1,Alabama,1007,Bibb,2001,16
1,Alabama,1007,Bibb,2002,30
1,Alabama,1007,Bibb,2003,0
1,Alabama,1007,Bibb,2004,16
1,Alabama,1007,Bibb,2005,18
1,Alabama,1007,Bibb,2006,59
1,Alabama,1007,Bibb,2007,86
1,Alabama,1007,Bibb,2008,51
1,Alabama,1007,Bibb,2009,104
1,Alabama,1007,Bibb,2010,85
1,Alabama,1007,Bibb,2011,102
1,Alabama,1007,Bibb,2012,70
1,Alabama,1007,Bibb,2013,26
1,Alabama,1007,Bibb,2014,78
1,Alabama,1007,Bibb,2015,58
1,Alabama,1007,Bibb,2016,80
