"StateFIPS","State","Year","Deaths"
4,"Arizona",2000,"37"
4,"Arizona",2001,"30"
4,"Arizona",2002,"43"
4,"Arizona",2003,"56"
4,"Arizona",2004,"42"
4,"Arizona",2005,"82"
4,"Arizona",2006,"113"
4,"Arizona",2007,"50"
4,"Arizona",2008,"50"
4,"Arizona",2009,"90"
4,"Arizona",2010,"97"
4,"Arizona",2011,"117"
4,"Arizona",2012,"109"
4,"Arizona",2013,"92"
4,"Arizona",2014,"69"
4,"Arizona",2015,"93"
4,"Arizona",2016,"177"
4,"Arizona",2017,"221"
4,"Arizona",2018,"187"
4,"Arizona",2019,"212"
4,"Arizona",2020,"373"
4,"Arizona",2021,"418"
4,"Arizona",2022,"517"
6,"California",2000,"41"
6,"California",2001,"25"
6,"California",2002,"43"
6,"California",2003,"38"
6,"California",2004,"33"
6,"California",2005,"62"
6,"California",2006,"188"
6,"California",2007,"67"
6,"California",2008,"42"
6,"California",2009,"54"
6,"California",2010,"39"
6,"California",2011,"26"
6,"California",2012,"61"
6,"California",2013,"66"
6,"California",2014,"47"
6,"California",2015,"49"
6,"California",2016,"67"
6,"California",2017,"98"
6,"California",2018,"98"
6,"California",2019,"57"
6,"California",2020,"128"
6,"California",2021,"139"
6,"California",2022,"160"
8,"Colorado",2007,"0"
8,"Colorado",2020,"11"
8,"Colorado",2021,"15"
8,"Colorado",2022,"14"
9,"Connecticut",2001,"0"
9,"Connecticut",2002,"0"
9,"Connecticut",2003,"0"
9,"Connecticut",2005,"0"
9,"Connecticut",2015,"0"
12,"Florida",2001,"19"
12,"Florida",2002,"14"
12,"Florida",2003,"16"
12,"Florida",2004,"25"
12,"Florida",2005,"20"
12,"Florida",2006,"26"
12,"Florida",2007,"14"
12,"Florida",2008,"16"
12,"Florida",2009,"32"
12,"Florida",2010,"23"
12,"Florida",2011,"16"
12,"Florida",2012,"17"
12,"Florida",2013,"16"
12,"Florida",2014,"18"
12,"Florida",2015,"18"
12,"Florida",2016,"29"
12,"Florida",2017,"42"
12,"Florida",2018,"15"
12,"Florida",2019,"27"
12,"Florida",2020,"41"
12,"Florida",2021,"25"
12,"Florida",2022,"35"
18,"Indiana",2006,"11"
18,"Indiana",2008,"0"
18,"Indiana",2011,"20"
18,"Indiana",2012,"23"
18,"Indiana",2018,"12"
18,"Indiana",2019,"12"
18,"Indiana",2021,"11"
18,"Indiana",2022,"21"
19,"Iowa",2008,"0"
19,"Iowa",2012,"10"
20,"Kansas",2006,"20"
20,"Kansas",2007,"12"
20,"Kansas",2009,"11"
20,"Kansas",2011,"37"
20,"Kansas",2012,"11"
20,"Kansas",2022,"16"
21,"Kentucky",2007,"10"
21,"Kentucky",2010,"15"
21,"Kentucky",2011,"17"
21,"Kentucky",2018,"10"
21,"Kentucky",2022,"11"
22,"Louisiana",2000,"23"
