"StateFIPS","State","Year","ER.Visits","Age_Group","Sex"
4,"Arizona",2005,17,"0 TO 4","Male"
4,"Arizona",2005,12,"0 TO 4","Female"
4,"Arizona",2005,37,"5 TO 14","Male"
4,"Arizona",2005,28,"5 TO 14","Female"
4,"Arizona",2005,391,"15 TO 34","Male"
4,"Arizona",2005,151,"15 TO 34","Female"
4,"Arizona",2005,440,"35 TO 64","Male"
4,"Arizona",2005,175,"35 TO 64","Female"
4,"Arizona",2005,78,">= 65","Male"
4,"Arizona",2005,49,">= 65","Female"
4,"Arizona",2006,6,"0 TO 4","Male"
4,"Arizona",2006,8,"0 TO 4","Female"
4,"Arizona",2006,41,"5 TO 14","Male"
4,"Arizona",2006,36,"5 TO 14","Female"
4,"Arizona",2006,418,"15 TO 34","Male"
4,"Arizona",2006,155,"15 TO 34","Female"
4,"Arizona",2006,414,"35 TO 64","Male"
4,"Arizona",2006,144,"35 TO 64","Female"
4,"Arizona",2006,66,">= 65","Male"
4,"Arizona",2006,52,">= 65","Female"
4,"Arizona",2007,14,"0 TO 4","Male"
4,"Arizona",2007,12,"0 TO 4","Female"
4,"Arizona",2007,39,"5 TO 14","Male"
4,"Arizona",2007,30,"5 TO 14","Female"
4,"Arizona",2007,403,"15 TO 34","Male"
4,"Arizona",2007,177,"15 TO 34","Female"
4,"Arizona",2007,414,"35 TO 64","Male"
4,"Arizona",2007,176,"35 TO 64","Female"
4,"Arizona",2007,69,">= 65","Male"
4,"Arizona",2007,56,">= 65","Female"
4,"Arizona",2008,9,"0 TO 4","Male"
4,"Arizona",2008,13,"0 TO 4","Female"
4,"Arizona",2008,56,"5 TO 14","Male"
4,"Arizona",2008,30,"5 TO 14","Female"
4,"Arizona",2008,354,"15 TO 34","Male"
4,"Arizona",2008,164,"15 TO 34","Female"
4,"Arizona",2008,385,"35 TO 64","Male"
4,"Arizona",2008,155,"35 TO 64","Female"
4,"Arizona",2008,71,">= 65","Male"
4,"Arizona",2008,64,">= 65","Female"
4,"Arizona",2009,14,"0 TO 4","Male"
4,"Arizona",2009,10,"0 TO 4","Female"
4,"Arizona",2009,61,"5 TO 14","Male"
4,"Arizona",2009,27,"5 TO 14","Female"
4,"Arizona",2009,374,"15 TO 34","Male"
4,"Arizona",2009,179,"15 TO 34","Female"
4,"Arizona",2009,406,"35 TO 64","Male"
4,"Arizona",2009,155,"35 TO 64","Female"
4,"Arizona",2009,67,">= 65","Male"
4,"Arizona",2009,49,">= 65","Female"
4,"Arizona",2010,13,"0 TO 4","Male"
4,"Arizona",2010,14,"0 TO 4","Female"
4,"Arizona",2010,56,"5 TO 14","Male"
4,"Arizona",2010,36,"5 TO 14","Female"
4,"Arizona",2010,421,"15 TO 34","Male"
4,"Arizona",2010,199,"15 TO 34","Female"
4,"Arizona",2010,461,"35 TO 64","Male"
4,"Arizona",2010,220,"35 TO 64","Female"
4,"Arizona",2010,89,">= 65","Male"
4,"Arizona",2010,64,">= 65","Female"
4,"Arizona",2011,18,"0 TO 4","Male"
4,"Arizona",2011,22,"0 TO 4","Female"
4,"Arizona",2011,74,"5 TO 14","Male"
4,"Arizona",2011,39,"5 TO 14","Female"
4,"Arizona",2011,498,"15 TO 34","Male"
4,"Arizona",2011,210,"15 TO 34","Female"
4,"Arizona",2011,583,"35 TO 64","Male"
