"StateFIPS","State","CountyFIPS","County","Year","EHE"
4,"Arizona",4001,"Apache",2000,8
4,"Arizona",4001,"Apache",2001,3
4,"Arizona",4001,"Apache",2002,9
4,"Arizona",4001,"Apache",2003,19
4,"Arizona",4001,"Apache",2004,0
4,"Arizona",4001,"Apache",2005,10
4,"Arizona",4001,"Apache",2006,8
4,"Arizona",4001,"Apache",2007,7
4,"Arizona",4001,"Apache",2008,3
4,"Arizona",4001,"Apache",2009,3
4,"Arizona",4001,"Apache",2010,6
4,"Arizona",4001,"Apache",2011,2
4,"Arizona",4001,"Apache",2012,7
4,"Arizona",4001,"Apache",2013,6
4,"Arizona",4001,"Apache",2014,0
4,"Arizona",4001,"Apache",2015,6
4,"Arizona",4001,"Apache",2016,6
4,"Arizona",4001,"Apache",2017,7
4,"Arizona",4001,"Apache",2018,13
4,"Arizona",4001,"Apache",2019,0
4,"Arizona",4001,"Apache",2020,19
4,"Arizona",4001,"Apache",2021,15
4,"Arizona",4001,"Apache",2022,7
4,"Arizona",4003,"Cochise",2000,56
4,"Arizona",4003,"Cochise",2001,45
4,"Arizona",4003,"Cochise",2002,67
4,"Arizona",4003,"Cochise",2003,65
4,"Arizona",4003,"Cochise",2004,43
4,"Arizona",4003,"Cochise",2005,55
4,"Arizona",4003,"Cochise",2006,50
4,"Arizona",4003,"Cochise",2007,53
4,"Arizona",4003,"Cochise",2008,33
4,"Arizona",4003,"Cochise",2009,78
4,"Arizona",4003,"Cochise",2010,72
4,"Arizona",4003,"Cochise",2011,79
4,"Arizona",4003,"Cochise",2012,71
4,"Arizona",4003,"Cochise",2013,45
4,"Arizona",4003,"Cochise",2014,32
4,"Arizona",4003,"Cochise",2015,48
4,"Arizona",4003,"Cochise",2016,49
4,"Arizona",4003,"Cochise",2017,46
4,"Arizona",4003,"Cochise",2018,64
4,"Arizona",4003,"Cochise",2019,65
4,"Arizona",4003,"Cochise",2020,88
4,"Arizona",4003,"Cochise",2021,41
4,"Arizona",4003,"Cochise",2022,31
4,"Arizona",4005,"Coconino",2000,2
4,"Arizona",4005,"Coconino",2001,2
