"StateFIPS","State","Year","Hosps","Age_Group","Sex"
4,"Arizona",2005,4,"0 TO 4","Male"
4,"Arizona",2005,2,"0 TO 4","Female"
4,"Arizona",2005,0,"5 TO 14","Male"
4,"Arizona",2005,1,"5 TO 14","Female"
4,"Arizona",2005,54,"15 TO 34","Male"
4,"Arizona",2005,8,"15 TO 34","Female"
4,"Arizona",2005,103,"35 TO 64","Male"
4,"Arizona",2005,29,"35 TO 64","Female"
4,"Arizona",2005,74,">= 65","Male"
4,"Arizona",2005,49,">= 65","Female"
4,"Arizona",2006,2,"0 TO 4","Male"
4,"Arizona",2006,0,"0 TO 4","Female"
4,"Arizona",2006,2,"5 TO 14","Male"
4,"Arizona",2006,0,"5 TO 14","Female"
4,"Arizona",2006,63,"15 TO 34","Male"
4,"Arizona",2006,9,"15 TO 34","Female"
4,"Arizona",2006,132,"35 TO 64","Male"
4,"Arizona",2006,32,"35 TO 64","Female"
4,"Arizona",2006,58,">= 65","Male"
4,"Arizona",2006,38,">= 65","Female"
4,"Arizona",2007,3,"0 TO 4","Male"
4,"Arizona",2007,2,"0 TO 4","Female"
4,"Arizona",2007,3,"5 TO 14","Male"
4,"Arizona",2007,2,"5 TO 14","Female"
4,"Arizona",2007,44,"15 TO 34","Male"
4,"Arizona",2007,5,"15 TO 34","Female"
4,"Arizona",2007,139,"35 TO 64","Male"
4,"Arizona",2007,29,"35 TO 64","Female"
4,"Arizona",2007,56,">= 65","Male"
4,"Arizona",2007,29,">= 65","Female"
4,"Arizona",2008,1,"0 TO 4","Male"
4,"Arizona",2008,3,"0 TO 4","Female"
4,"Arizona",2008,0,"5 TO 14","Male"
4,"Arizona",2008,0,"5 TO 14","Female"
4,"Arizona",2008,56,"15 TO 34","Male"
4,"Arizona",2008,12,"15 TO 34","Female"
4,"Arizona",2008,126,"35 TO 64","Male"
4,"Arizona",2008,32,"35 TO 64","Female"
4,"Arizona",2008,48,">= 65","Male"
4,"Arizona",2008,19,">= 65","Female"
4,"Arizona",2009,2,"0 TO 4","Male"
4,"Arizona",2009,2,"0 TO 4","Female"
4,"Arizona",2009,3,"5 TO 14","Male"
4,"Arizona",2009,0,"5 TO 14","Female"
4,"Arizona",2009,56,"15 TO 34","Male"
4,"Arizona",2009,8,"15 TO 34","Female"
4,"Arizona",2009,155,"35 TO 64","Male"
4,"Arizona",2009,34,"35 TO 64","Female"
4,"Arizona",2009,75,">= 65","Male"
4,"Arizona",2009,43,">= 65","Female"
4,"Arizona",2010,1,"0 TO 4","Male"
4,"Arizona",2010,3,"0 TO 4","Female"
4,"Arizona",2010,7,"5 TO 14","Male"
